2019-01-09 12:39:34  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 0.0 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-01-09 12:39:34  | Get Last Order from Redis
2019-01-09 12:39:34  | Get Last Order from Redis
2019-01-09 12:39:34  | Get Last Order from Redis
2019-01-09 12:39:34  | Get Last Order from Redis
2019-01-09 12:39:34  | Get Last Order from Redis
2019-01-09 12:39:34  | My Order List is  [] 
2019-01-09 12:39:34  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-01-09 12:39:34  | Spawn Trader  dongwkim-trader1 
2019-01-09 12:39:34  | Current Trader is dongwkim-trader1
2019-01-09 12:39:34  | Get Last Order from Redis
2019-01-09 12:31:43  | TEST  | Price: p:408.7/b:408.6/a:409.2/l:400 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.1%)/   0(0.0%) Avg:  409/ 408 | deal (0) | bal:374,210  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:10:38  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:11:58  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:35  | TEST  | Price: p:406.6/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.1%)/   0(0.1%) Avg:  406/ 406 | deal (0) | bal:372,782  
2019-01-10 05:12:35  | TEST  | Price: p:406.6/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.1%)/   0(0.1%) Avg:  406/ 406 | deal (0) | bal:372,782  
2019-01-10 05:12:35  | TEST  | Price: p:406.6/b:406.3/a:406.4/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.1%)/   0(0.1%) Avg:  406/ 406 | deal (0) | bal:372,782  
2019-01-10 05:12:35  | TEST  | Price: p:406.6/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.2%)/   0(0.1%)/   0(0.1%) Avg:  406/ 406 | deal (0) | bal:372,782  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.9/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/  -0(-0.1%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.5/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.6/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.9/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.7/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.9/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.4/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.3/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
2019-01-10 05:12:41  | TEST  | Price: p:406.3/b:406.4/a:406.8/l:399 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/   0(0.0%)/   0(0.0%) Avg:  406/ 406 | deal (0) | bal:372,578  
