2019-07-17 02:44:48  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 680.1588 coins | available 20.991812 coins 
xrp                  | open_orders | id:  14444799 type: ask 
2019-07-17 02:44:48  | Get Last Order from Redis
2019-07-17 02:44:48  | Get Last Order from Redis
2019-07-17 02:44:48  | Get Last Order from Redis
2019-07-17 02:44:48  | Get Last Order from Redis
2019-07-17 02:44:48  | Get Last Order from Redis
2019-07-17 02:44:48  | My Order List is  [] 
2019-07-17 02:44:48  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-07-17 02:44:48  | Spawn Trader  dongwkim-trader1 
2019-07-17 02:44:48  | Current Trader is dongwkim-trader1
2019-07-17 02:44:48  | Get Last Order from Redis
2019-07-17 02:12:14  | TEST  | Price: p:334.4/b:330.1/a:334.5/l:342 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    4(1.3%)/   0(0.0%)/   0(0.0%) Avg:  332/ 334 | deal (0) | bal:234,464  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -1(-0.3%)/  -0(-0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.4/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.4/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.4/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.4/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.2/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.2/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.1/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.0/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.1/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.2/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.3/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.4/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.4/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.2/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.2/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.1/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.0/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.1/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.0/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.1/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.1/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.9/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.8/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.4/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.4/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.3/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.7/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.6/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.1/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
2019-07-18 04:12:13  | TEST  | Price: p:334.0/b:334.0/a:339.5/l:334 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.0%)/   0(0.0%)/   0(0.0%) Avg:  334/ 334 | deal (0) | bal:234,184  
