2019-09-11 12:12:21  | [93mWelcome to Korbit Salon ^^[0m
xrp                  | trade_in_use 0.0 coins | available 701.150612 coins 
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:12:21  | My Order List is  [] 
2019-09-11 12:12:21  | My Trader List is  OrderedDict([('dongwkim-trader1', False), ('dongwkim-trader2', False), ('dongwkim-trader3', False), ('dongwkim-trader4', False), ('dongwkim-trader5', False)]) 
2019-09-11 12:12:21  | Spawn Trader  dongwkim-trader1 
2019-09-11 12:12:21  | Current Trader is dongwkim-trader1
2019-09-11 12:12:21  | Get Last Order from Redis
2019-09-11 12:05:05  | TEST  | Price: p:307.7/b:307.6/a:308.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:   -0(-0.1%)/   0(0.0%)/   0(0.0%) Avg:  308/ 308 | deal (0) | bal:215,744  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.1/a:307.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.2%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.2%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.2%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.2/a:307.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.2%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.2/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.2%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.2/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.2%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.2/a:307.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.2%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.2%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.0/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.1/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.1/a:307.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.0/a:307.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.0/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.0/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.0/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.0/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.3/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:306.0/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -1(-0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.5/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:37:37  | TEST  | Price: p:306.1/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    0(0.1%)/  -0(-0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:214,622  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:307.0/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.2%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 306 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.8/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.1%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:307.2/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.9/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   1(0.3%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.5/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.0%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.0%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.5/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.0%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.7/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.0%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:307.1/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.0%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.6/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.0%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
2019-09-11 16:45:24  | TEST  | Price: p:307.0/b:305.9/a:306.5/l:303 | Buy/Sell/Vol: 0.000000/0.000000/0.000 | Delta:    1(0.4%)/   0(0.0%)/   0(0.0%) Avg:  306/ 307 | deal (0) | bal:215,253  
